SB_Delay,comm_type,Host_Delay,Border_Delay,Controller_Delay
2,2,1471,0,878
2,1,2,0,981
2,2,1876,0,1225
2,1,2,0,870
2,1,5,0,1375
2,1,2,0,803
2,1,2,0,709
2,1,2,0,893
2,1,2,0,755
2,1,3,0,814
2,3,1660,1410,1534
2,3,1685,1261,1191
2,4,2758,2271,586
2,4,3457,2679,620
2,2,1786,0,865
2,2,1457,0,958
2,2,1733,0,984
2,3,1607,1267,1155
2,3,1681,1610,1151
2,3,1552,1151,1046
2,4,2770,2440,581
2,1,3,0,1117
2,4,3093,2816,580
2,1,2,0,1042
2,2,1605,0,1042
2,1,2,0,773
2,2,1771,0,1275
2,1,3,0,1062
2,1,2,0,741
2,1,2,0,1002
2,3,1706,1422,1468
2,3,1816,1430,1581
2,1,1,0,663
2,1,2,0,1169
2,4,3179,2905,551
2,1,3,0,780
2,1,2,0,989
2,1,3,0,1015
2,4,3221,3523,659
2,1,4,0,1202
2,2,1604,0,794
2,2,1654,0,908
2,2,1696,0,821
2,3,1579,1270,1519
2,3,1485,1238,1111
2,3,1582,1260,1193
2,4,2766,2256,576
2,4,2958,3344,537
2,2,1466,0,820
2,2,1510,0,845
2,1,2,0,835
2,1,2,0,967
2,1,1,0,868
2,1,2,0,735
2,1,1,0,910
2,1,2,0,884
2,3,1711,1712,1515
2,3,2325,2136,1521
2,4,3044,2939,543
2,4,4108,3849,748
2,2,1503,0,791
2,2,1548,0,784
2,2,1728,0,862
2,1,14,0,1518
2,1,3,0,1108
2,3,2147,1553,1391
2,1,3,0,907
2,1,2,0,1211
2,3,1578,1624,1367
2,1,2,0,705
2,1,2,0,892
2,3,1677,1712,1254
2,4,3061,2320,575
2,4,2953,2549,539
2,2,1638,0,819
2,2,1492,0,972
2,1,3,0,1200
2,1,5,0,1520
2,1,2,0,1015
2,1,2,0,818
2,1,3,0,849
2,1,4,0,999
2,3,1536,1202,1082
2,3,1469,1510,1325
2,4,3076,3387,592
2,4,2855,3615,709
2,2,1456,0,870
2,2,1782,0,1079
2,2,1494,0,1182
2,3,1591,1378,1200
2,3,1715,1231,1054
2,3,1500,1303,1080
2,4,2760,2589,542
2,1,3,0,870
2,1,3,0,1155
2,4,3425,2711,636
2,1,2,0,721
2,2,1759,0,1391
2,1,6,0,2712
2,2,1585,0,1079
2,1,2,0,815
2,1,2,0,823
2,3,1828,1591,1681
2,3,1516,1193,1077
2,1,3,0,971
2,1,3,0,1165
2,1,3,0,782
2,4,3139,2681,579
2,1,24,0,1118
2,1,3,0,1290
2,4,3524,3580,610
2,1,3,0,797
2,2,1511,0,1070
2,2,1981,0,944
2,2,1858,0,1007
2,3,1619,1240,1144
2,3,1533,1327,1205
2,3,1463,1234,1111
2,4,2862,2278,574
2,4,2881,2338,603
2,2,1471,0,1062
2,2,1681,0,904
2,1,4,0,1507
2,1,2,0,932
2,1,4,0,1144
2,1,6,0,1097
2,1,1,0,1088
2,1,2,0,922
2,3,1762,1560,1419
2,3,1962,1549,1524
2,4,3467,2281,574
2,4,3201,2289,546
2,2,1532,0,767
2,2,2008,0,826
2,1,2,0,709
2,1,2,0,660
2,2,1807,0,777
2,1,2,0,750
2,1,6,0,1455
2,3,1786,1546,1197
2,1,2,0,773
2,1,3,0,937
2,3,1777,1774,1671
2,3,1593,1339,1222
2,4,2946,2452,590
2,4,3471,2477,597
2,2,1622,0,779
2,2,1569,0,778
2,1,2,0,803
2,1,2,0,818
2,1,2,0,926
2,1,2,0,879
2,1,7,0,1042
2,1,2,0,1827
2,3,1839,1619,1565
2,3,1546,1311,1263
2,4,2988,2382,638
2,4,3521,3023,553
2,2,1610,0,947
2,2,1749,0,968
2,2,1439,0,798
2,3,1459,1364,1250
2,3,1545,1405,1202
2,3,1427,1334,1153
2,4,2793,2223,577
2,1,3,0,988
2,1,4,0,1436
2,4,3699,3497,557
2,1,2,0,818
2,2,1446,0,942
2,1,2,0,1221
2,2,1490,0,1025
2,1,2,0,794
2,1,2,0,896
2,1,3,0,1110
2,3,1991,1627,2547
2,1,2,0,1126
2,3,1580,1182,1392
2,1,1,0,734
2,1,3,0,1095
2,1,4,0,889
2,4,3690,3352,681
2,1,3,0,1206
2,4,3448,2780,603
2,2,1955,0,1162
2,2,1509,0,832
2,2,1549,0,883
2,3,1525,1165,1271
2,3,1613,1447,1463
2,3,1679,1348,1063
2,4,2843,2450,570
2,4,3318,2611,556
2,2,1570,0,828
2,2,1530,0,865
2,1,5,0,866
2,1,2,0,680
2,1,2,0,653
2,1,2,0,1097
2,1,3,0,853
2,1,2,0,747
2,3,2212,1713,1620
2,3,1813,1199,1347
2,4,2994,2437,551
2,4,3314,2604,639
2,2,2196,0,826
2,2,2262,0,964
2,2,1793,0,1108
2,1,3,0,917
2,3,1866,1430,1090
2,1,2,0,832
2,1,2,0,1038
2,3,2018,1899,1169
2,1,3,0,813
2,1,2,0,686
2,1,3,0,900
2,3,1975,1544,1216
2,4,3058,2556,680
2,4,2644,2491,545
2,2,1722,0,955
2,2,1574,0,750
2,1,3,0,1062
2,1,4,0,1695
2,1,2,0,876
