SB_Delay,comm_type,Host_Delay,Border_Delay,Controller_Delay
2000,4,989,622,428
2000,4,925,886,426
2000,2,624,0,1009
2000,2,465,0,822
2000,2,481,0,803
2000,3,496,539,1102
2000,3,471,440,1257
2000,3,426,274,779
2000,4,790,536,395
2000,4,765,525,393
2000,2,530,0,890
2000,2,528,0,716
2000,3,525,457,990
2000,3,427,327,978
2000,3,469,429,843
2000,3,472,299,769
2000,4,1028,640,435
2000,4,767,541,404
2000,2,459,0,1349
2000,2,435,0,660
2000,3,436,288,762
2000,3,510,326,941
2000,4,708,546,397
2000,4,753,481,381
2000,2,713,0,889
2000,2,594,0,783
2000,2,479,0,697
2000,2,455,0,811
2000,3,470,296,954
2000,3,707,505,1186
2000,3,462,384,853
2000,3,626,496,952
2000,4,704,522,372
2000,4,743,482,366
2000,2,544,0,860
2000,2,453,0,876
2000,3,677,296,1051
2000,3,458,396,836
2000,4,715,516,378
2000,4,750,497,409
2000,2,459,0,885
2000,2,549,0,1110
2000,2,502,0,913
2000,2,437,0,696
2000,1,2,0,929
2000,1,3,0,790
2000,1,2,0,693
2000,1,3,0,1170
2000,3,475,312,965
2000,3,678,369,855
2000,3,465,514,827
2000,4,970,634,489
2000,4,809,668,503
2000,2,504,0,777
2000,2,448,0,819
2000,3,523,391,895
2000,3,544,384,923
2000,4,1107,884,951
2000,4,929,810,600
2000,2,534,0,823
2000,2,426,0,974
2000,2,513,0,887
2000,3,1214,513,965
2000,3,465,293,874
2000,3,713,404,779
2000,4,756,603,431
2000,4,765,718,399
2000,2,543,0,837
2000,2,432,0,808
2000,3,559,357,1404
2000,3,427,303,859
2000,4,807,545,418
2000,4,690,517,376
2000,2,519,0,807
2000,2,601,0,951
2000,2,564,0,830
2000,1,3,0,905
2000,1,2,0,745
2000,1,3,0,710
2000,1,3,0,871
2000,1,3,0,1068
2000,1,3,0,1128
2000,1,2,0,817
2000,1,2,0,984
2000,1,2,0,710
2000,1,3,0,913
2000,3,463,306,1211
2000,3,441,288,771
2000,4,812,708,791
2000,4,782,707,503
2000,2,561,0,1416
2000,2,513,0,745
2000,2,530,0,918
2000,2,521,0,909
2000,3,495,553,955
2000,3,608,411,947
2000,3,594,416,1043
2000,3,474,364,782
2000,4,994,713,496
2000,4,809,633,411
2000,2,423,0,1439
2000,2,439,0,720
2000,3,523,417,1241
2000,3,443,365,902
2000,4,726,598,423
2000,4,767,727,443
2000,2,587,0,902
2000,2,461,0,935
2000,2,454,0,724
2000,3,594,361,823
2000,3,404,321,962
2000,3,462,294,843
2000,4,1063,766,536
2000,4,734,522,399
2000,2,471,0,832
2000,2,457,0,877
2000,1,2,0,805
2000,1,2,0,674
2000,1,2,0,752
2000,1,2,0,691
2000,1,2,0,835
2000,1,3,0,975
2000,3,500,359,1052
2000,3,780,939,1270
2000,4,1009,552,416
2000,4,873,698,533
2000,2,575,0,999
2000,2,629,0,710
